InputID,TargetID,Distance
3rd Settlement (New Cairo),Tiba,28479.3814999
3rd Settlement (New Cairo),Imbaba,29106.4224789
3rd Settlement (New Cairo),Giza,29349.3375228
Mehwar Desert Road,Giza,15162.7690317
Mehwar Desert Road,Imbaba,16992.6351486
Mehwar Desert Road,El-Mounib,17009.8574324
Mehwar Desert Road,Tiba,17946.5550131
Mehwar Desert Road,Badr,19405.4953332
Mehwar Desert Road,Fom El-Khalig,20119.7047534
Mehwar Desert Road,Athar an Naby,21422.2512612
Mehwar Desert Road,El Mizalat,22930.6599232
Mehwar Desert Road,El-Teraa El-,24306.4399827
Mehwar Desert Road,El Basatin,25071.0492585
Mehwar Desert Road,Port Said,26023.9749436
Mehwar Desert Road,Al Amiriyyah,28033.0103876
Mehwar Desert Road,Fateh,28401.2686976
Mehwar Desert Road,Nasr,28441.5469699
Mehwar Desert Road,El-Obour,28672.0805246
Mehwar Desert Road,Al Mataria,28863.1286019
Mehwar Desert Road,Al Sawah,28901.2584105
Mehwar Desert Road,Gesr Al Suez,35936.0282427
Mehwar Desert Road,Al Amal,37285.0903755
Mehwar Desert Road,Al-Mostaqbal,37947.3576906
